AACSL	empty	AACSP1 (Acetoacetyl-CoA Synthetase Pseudogene 1) is a Pseudogene.	empty	diff
AADAT	This gene encodes a protein that is highly similar to mouse and rat kynurenine aminotransferase II. The rat protein is a homodimer with two transaminase activities. One activity is the transamination of alpha-aminoadipic acid, a final step in the saccaropine pathway which is the major pathway for L-lysine catabolism. The other activity involves the transamination of kynurenine to produce kynurenine acid, the precursor of kynurenic acid which has neuroprotective properties. Several transcript variants encoding two different isoforms have been found for this gene. [provided by RefSeq, Nov 2013]	AADAT (Aminoadipate Aminotransferase) is a Protein Coding gene. Among its related pathways are Metabolism and Carbon metabolism. GO annotations related to this gene include protein homodimerization activity and kynurenine-oxoglutarate transaminase activity.	Transaminase with broad substrate specificity. Has transaminase activity towards aminoadipate, kynurenine, methionine and glutamate. Shows activity also towards tryptophan, aspartate and hydroxykynurenine. Accepts a variety of oxo-acids as amino-group acceptors, with a preference for 2-oxoglutarate, 2-oxocaproic acid, phenylpyruvate and alpha-oxo-gamma-methiol butyric acid. Can also use glyoxylate as amino-group acceptor (in vitro).	same
A1CF	Mammalian apolipoprotein B mRNA undergoes site-specific C to U deamination, which is mediated by a multi-component enzyme complex containing a minimal core composed of APOBEC-1 and a complementation factor encoded by this gene. The gene product has three non-identical RNA recognition motifs and belongs to the hnRNP R family of RNA-binding proteins. It has been proposed that this complementation factor functions as an RNA-binding subunit and docks APOBEC-1 to deaminate the upstream cytidine. Studies suggest that the protein may also be involved in other RNA editing or RNA processing events. Several transcript variants encoding a few different isoforms have been found for this gene. [provided by RefSeq, Nov 2010]	A1CF (APOBEC1 Complementation Factor) is a Protein Coding gene. Diseases associated with A1CF include anisometropia and amblyopia. Among its related pathways are Gene Expression and Formation of editosomes by ADAR proteins. GO annotations related to this gene include RNA binding and double-stranded RNA binding. An important paralog of this gene is HNRNPR.	Essential component of the apolipoprotein B mRNA editing enzyme complex which is responsible for the postranscriptional editing of a CAA codon for Gln to a UAA codon for stop in APOB mRNA. Binds to APOB mRNA and is probably responsible for docking the catalytic subunit, APOBEC1, to the mRNA to allow it to deaminate its target cytosine. The complex also protects the edited APOB mRNA from nonsense-mediated decay.	same
A2M	Alpha-2-macroglobulin is a protease inhibitor and cytokine transporter. It inhibits many proteases, including trypsin, thrombin and collagenase. A2M is implicated in Alzheimer disease (AD) due to its ability to mediate the clearance and degradation of A-beta, the major component of beta-amyloid deposits. [provided by RefSeq, Jul 2008]	A2M (Alpha-2-Macroglobulin) is a Protein Coding gene. Diseases associated with A2M include alpha-2-macroglobulin deficiency and alzheimer disease. Among its related pathways are Signaling by GPCR and Rho GTPase cycle. GO annotations related to this gene include enzyme binding and growth factor binding. An important paralog of this gene is CD109.	Is able to inhibit all four classes of proteinases by a unique trapping mechanism. This protein has a peptide stretch, called the bait region which contains specific cleavage sites for different proteinases. When a proteinase cleaves the bait region, a conformational change is induced in the protein which traps the proteinase. The entrapped enzyme remains active against low molecular weight substrates (activity against high molecular weight substrates is greatly reduced). Following cleavage in the bait region a thioester bond is hydrolyzed and mediates the covalent binding of the protein to the proteinase	same
AARSD1	empty	AARSD1 (Alanyl-TRNA Synthetase Domain Containing 1) is a Protein Coding gene. GO annotations related to this gene include nucleic acid binding and alanine-tRNA ligase activity. An important paralog of this gene is PTGES3L-AARSD1.	Functions in trans to edit the amino acid moiety from incorrectly charged tRNA(Ala).	same
AARS2	The protein encoded by this gene belongs to the class-II aminoacyl-tRNA synthetase family. Aminoacyl-tRNA synthetases play critical roles in mRNA translation by charging tRNAs with their cognate amino acids. The encoded protein is a mitochondrial enzyme that specifically aminoacylates alanyl-tRNA. Mutations in this gene are a cause of combined oxidative phosphorylation deficiency 8. [provided by RefSeq, Dec 2011]	AARS2 (Alanyl-TRNA Synthetase 2, Mitochondrial) is a Protein Coding gene. Diseases associated with AARS2 include combined oxidative phosphorylation deficiency 8 and leukoencephalopathy, progressive, with ovarian failure. Among its related pathways are Gene Expression and tRNA Aminoacylation. GO annotations related to this gene include tRNA binding and alanine-tRNA ligase activity. An important paralog of this gene is AARS.	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction: alanine is first activated by ATP to form Ala-AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged tRNA(Ala) via its editing domain.	same
AASDHPPT	The protein encoded by this gene is similar to Saccharomyces cerevisiae LYS5, which is required for the activation of the alpha-aminoadipate dehydrogenase in the biosynthetic pathway of lysine. Yeast alpha-aminoadipate dehydrogenase converts alpha-biosynthetic-aminoadipate semialdehyde to alpha-aminoadipate. It has been suggested that defects in the human gene result in pipecolic acidemia. [provided by RefSeq, Jul 2008]	AASDHPPT (Aminoadipate-Semialdehyde Dehydrogenase-Phosphopantetheinyl Transferase) is a Protein Coding gene. Among its related pathways are Disease and Metabolism. GO annotations related to this gene include magnesium ion binding and holo-[acyl-carrier-protein] synthase activity.	Catalyzes the post-translational modification of target proteins by phosphopantetheine. Can transfer the 4-phosphopantetheine moiety from coenzyme A to a serine residue of a broad range of acceptors, such as the acyl carrier domain of FASN.	same
A2BP1	The Fox-1 family of RNA-binding proteins is evolutionarily conserved, and regulates tissue-specific alternative splicing in metazoa. Fox-1 recognizes a (U)GCAUG stretch in regulated exons or in flanking introns. The protein binds to the C-terminus of ataxin-2 and may contribute to the restricted pathology of spinocerebellar ataxia type 2 (SCA2). Ataxin-2 is the product of the SCA2 gene which causes familial neurodegenerative diseases. Fox-1 and ataxin-2 are both localized in the trans-Golgi network. Several alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Nov 2011]	RBFOX1 (RNA Binding Protein, Fox-1 Homolog (C. Elegans) 1) is a Protein Coding gene. Diseases associated with RBFOX1 include dengue shock syndrome. GO annotations related to this gene include RNA binding and protein C-terminus binding. An important paralog of this gene is RBFOX2.	RNA-binding protein that regulates alternative splicing events by binding to 5-UGCAUGU-3 elements. Regulates alternative splicing of tissue-specific exons and of differentially spliced exons during erythropoiesis.	diff
AASS	This gene encodes a bifunctional enzyme that catalyzes the first two steps in the mammalian lysine degradation pathway. The N-terminal and the C-terminal portions of this enzyme contain lysine-ketoglutarate reductase and saccharopine dehydrogenase activity, respectively, resulting in the conversion of lysine to alpha-aminoadipic semialdehyde. Mutations in this gene are associated with familial hyperlysinemia. [provided by RefSeq, Jul 2008]	AASS (Aminoadipate-Semialdehyde Synthase) is a Protein Coding gene. Diseases associated with AASS include saccharopinuria and hyperlysinemia. Among its related pathways are Metabolism and Metabolism. GO annotations related to this gene include saccharopine dehydrogenase (NAD+, L-glutamate-forming) activity.	Bifunctional enzyme that catalyzes the first two steps in lysine degradation. The N-terminal and the C-terminal contain lysine-ketoglutarate reductase and saccharopine dehydrogenase activity, respectively	same
AASDH	empty	AASDH (Aminoadipate-Semialdehyde Dehydrogenase) is a Protein Coding gene. GO annotations related to this gene include acid-thiol ligase activity.	Acyl-CoA synthases catalyze the initial reaction in fatty acid metabolism, by forming a thioester with CoA.	same
AATF	The protein encoded by this gene was identified on the basis of its interaction with MAP3K12/DLK, a protein kinase known to be involved in the induction of cell apoptosis. This gene product contains a leucine zipper, which is a characteristic motif of transcription factors, and was shown to exhibit strong transactivation activity when fused to Gal4 DNA binding domain. Overexpression of this gene interfered with MAP3K12 induced apoptosis. [provided by RefSeq, Jul 2008]	AATF (Apoptosis Antagonizing Transcription Factor) is a Protein Coding gene. Among its related pathways are Signaling by FGFR and Signaling by GPCR. GO annotations related to this gene include sequence-specific DNA binding transcription factor activity and tau protein binding.	May function as a general inhibitor of the histone deacetylase HDAC1. Binding to the pocket region of RB1 may displace HDAC1 from RB1/E2F complexes, leading to activation of E2F target genes and cell cycle progression. Conversely, displacement of HDAC1 from SP1 bound to the CDKN1A promoter leads to increased expression of this CDK inhibitor and blocks cell cycle progression. Also antagonizes PAWR mediated induction of aberrant amyloid peptide production in Alzheimer disease (presenile and senile dementia), although the molecular basis for this phenomenon has not been described to date.	same
ABAT	4-aminobutyrate aminotransferase (ABAT) is responsible for catabolism of gamma-aminobutyric acid (GABA), an important, mostly inhibitory neurotransmitter in the central nervous system, into succinic semialdehyde. The active enzyme is a homodimer of 50-kD subunits complexed to pyridoxal-5-phosphate. The protein sequence is over 95% similar to the pig protein. GABA is estimated to be present in nearly one-third of human synapses. ABAT in liver and brain is controlled by 2 codominant alleles with a frequency in a Caucasian population of 0.56 and 0.44. The ABAT deficiency phenotype includes psychomotor retardation, hypotonia, hyperreflexia, lethargy, refractory seizures, and EEG abnormalities. Multiple alternatively spliced transcript variants encoding the same protein isoform have been found for this gene. [provided by RefSeq, Jul 2008]	ABAT (4-Aminobutyrate Aminotransferase) is a Protein Coding gene. Diseases associated with ABAT include gaba-transaminase deficiency and gaba aminotransferase deficiency. Among its related pathways are Metabolism and Transmission across Chemical Synapses. GO annotations related to this gene include protein homodimerization activity and 4-aminobutyrate transaminase activity.	Catalyzes the conversion of gamma-aminobutyrate and L-beta-aminoisobutyrate to succinate semialdehyde and methylmalonate semialdehyde, respectively. Can also convert delta-aminovalerate and beta-alanine	same
ABCA11P	empty	ABCA11P (ATP-Binding Cassette, Sub-Family A (ABC1), Member 11, Pseudogene) is a Pseudogene. GO annotations related to this gene include ATPase activity.	empty	same
AANAT	The protein encoded by this gene belongs to the acetyltransferase superfamily. It is the penultimate enzyme in melatonin synthesis and controls the night/day rhythm in melatonin production in the vertebrate pineal gland. Melatonin is essential for the function of the circadian clock that influences activity and sleep. This enzyme is regulated by cAMP-dependent phosphorylation that promotes its interaction with 14-3-3 proteins and thus protects the enzyme against proteasomal degradation. This gene may contribute to numerous genetic diseases such as delayed sleep phase syndrome. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2009]	AANAT (Aralkylamine N-Acetyltransferase) is a Protein Coding gene. Diseases associated with AANAT include delayed sleep phase syndrome and idiopathic scoliosis. Among its related pathways are Metabolism and Metabolism. GO annotations related to this gene include aralkylamine N-acetyltransferase activity.	Controls the night/day rhythm of melatonin production in the pineal gland. Catalyzes the N-acetylation of serotonin into N-acetylserotonin, the penultimate step in the synthesis of melatonin	same
ABCA3	The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intracellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the ABC1 subfamily. Members of the ABC1 subfamily comprise the only major ABC subfamily found exclusively in multicellular eukaryotes. The full transporter encoded by this gene may be involved in development of resistance to xenobiotics and engulfment during programmed cell death. [provided by RefSeq, Jul 2008]	ABCA3 (ATP-Binding Cassette, Sub-Family A (ABC1), Member 3) is a Protein Coding gene. Diseases associated with ABCA3 include surfactant metabolism dysfunction, pulmonary, 3 and abca3-related pulmonary surfactant metabolism dysfunction. Among its related pathways are Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds and ABC-family proteins mediated transport. GO annotations related to this gene include transporter activity and ATPase activity, coupled to transmembrane movement of substances. An important paralog of this gene is ABCA4.	Plays an important role in the formation of pulmonary surfactant, probably by transporting lipids such as cholesterol	same
ABCA6	The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intracellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, and White). This encoded protein is a member of the ABC1 subfamily. Members of the ABC1 subfamily comprise the only major ABC subfamily found exclusively in multicellular eukaryotes. This gene is clustered among 4 other ABC1 family members on 17q24 and may play a role in macrophage lipid homeostasis. [provided by RefSeq, Jul 2008]	ABCA6 (ATP-Binding Cassette, Sub-Family A (ABC1), Member 6) is a Protein Coding gene. Among its related pathways are Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds and ABC-family proteins mediated transport. GO annotations related to this gene include ATPase activity. An important paralog of this gene is ABCA4.	Probable transporter which may play a role in macrophage lipid homeostasis	same
ABCA10	The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intracellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, and White). This encoded protein is a member of the ABC1 subfamily. Members of the ABC1 subfamily comprise the only major ABC subfamily found exclusively in multicellular eukaryotes. This gene is clustered among 4 other ABC1 family members on 17q24, but neither the substrate nor the function of this gene is known. [provided by RefSeq, Jul 2008]	ABCA10 (ATP-Binding Cassette, Sub-Family A (ABC1), Member 10) is a Protein Coding gene. Among its related pathways are Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds and ABC-family proteins mediated transport. GO annotations related to this gene include ATPase activity. An important paralog of this gene is ABCA4.	Probable transporter which may play a role in macrophage lipid homeostasis	same
ABCA2	The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intracellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the ABC1 subfamily. Members of the ABC1 subfamily comprise the only major ABC subfamily found exclusively in multicellular eukaryotes. This protein is highly expressed in brain tissue and may play a role in macrophage lipid metabolism and neural development. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]	ABCA2 (ATP-Binding Cassette, Sub-Family A (ABC1), Member 2) is a Protein Coding gene. Diseases associated with ABCA2 include developmental coordination disorder and neuroma. Among its related pathways are Lysosome and Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds. GO annotations related to this gene include nucleotide binding and ATPase activity, coupled to transmembrane movement of substances. An important paralog of this gene is ABCA4.	Probable transporter, its natural substrate has not been found yet. May have a role in macrophage lipid metabolism and neural development	same
ABCA5	The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intracellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, and White). This encoded protein is a member of the ABC1 subfamily. Members of the ABC1 subfamily comprise the only major ABC subfamily found exclusively in multicellular eukaryotes. This gene is clustered among 4 other ABC1 family members on 17q24, but neither the substrate nor the function of this gene is known. Alternative splicing of this gene results in several transcript variants; however, not all variants have been fully described. [provided by RefSeq, Jul 2008]	ABCA5 (ATP-Binding Cassette, Sub-Family A (ABC1), Member 5) is a Protein Coding gene. Diseases associated with ABCA5 include hypertrichosis terminalis, generalized, with or without gingival hyperplasia. Among its related pathways are ABC-family proteins mediated transport. GO annotations related to this gene include ATPase activity. An important paralog of this gene is ABCA4.	May play a role in the processing of autolysosomes.	same
AARS	The human alanyl-tRNA synthetase (AARS) belongs to a family of tRNA synthases, of the class II enzymes. Class II tRNA synthases evolved early in evolution and are highly conserved. This is reflected by the fact that 498 of the 968-residue polypeptide human AARS shares 41% identity witht the E.coli protein. tRNA synthases are the enzymes that interpret the RNA code and attach specific aminoacids to the tRNAs that contain the cognate trinucleotide anticodons. They consist of a catalytic domain which interacts with the amino acid acceptor-T psi C helix of the tRNA, and a second domain which interacts with the rest of the tRNA structure. [provided by RefSeq, Jul 2008]	AARS (Alanyl-TRNA Synthetase) is a Protein Coding gene. Diseases associated with AARS include charcot-marie-tooth disease, axonal, type 2n and charcot-marie-tooth neuropathy type 2n. Among its related pathways are Gene Expression and tRNA Aminoacylation. GO annotations related to this gene include tRNA binding and aminoacyl-tRNA editing activity. An important paralog of this gene is AARS2.	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction: alanine is first activated by ATP to form Ala-AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged tRNA(Ala) via its editing domain.	same
ABCA7	The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the ABC1 subfamily. Members of the ABC1 subfamily comprise the only major ABC subfamily found exclusively in multicellular eukaryotes. This full transporter has been detected predominantly in myelo-lymphatic tissues with the highest expression in peripheral leukocytes, thymus, spleen, and bone marrow. The function of this protein is not yet known; however, the expression pattern suggests a role in lipid homeostasis in cells of the immune system. [provided by RefSeq, Jul 2008]	ABCA7 (ATP-Binding Cassette, Sub-Family A (ABC1), Member 7) is a Protein Coding gene. Among its related pathways are Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds and Cholesterol and Sphingolipids transport / Recycling to plasma membrane in lung (normal and CF). GO annotations related to this gene include transporter activity and phospholipid transporter activity. An important paralog of this gene is ABCA4.	Plays a role in phagocytosis by macrophages of apoptotic cells. Binds APOA1 and may function in apolipoprotein-mediated phospholipid efflux from cells. May also mediate cholesterol efflux. May regulate cellular ceramide homeostasis during keratinocytes differentiation.	same
ABCA8	The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intracellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the ABC1 subfamily. Members of the ABC1 subfamily comprise the only major ABC subfamily found exclusively in multicellular eukaryotes. The encoded protein may regulate lipid metabolism and be involved in the formation and maintenance of myelin. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2014]	ABCA8 (ATP-Binding Cassette, Sub-Family A (ABC1), Member 8) is a Protein Coding gene. Among its related pathways are Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds and ABC-family proteins mediated transport. GO annotations related to this gene include ATPase activity, coupled to transmembrane movement of substances. An important paralog of this gene is ABCA4.	ATP-dependent lipophilic drug transporter.	same
ABCA13	In human, the ATP-binding cassette (ABC) family of transmembrane transporters has at least 48 genes and 7 gene subfamilies. This gene is a member of ABC gene subfamily A (ABCA). Genes within the ABCA family typically encode several thousand amino acids. Like other ABC transmembrane transporter proteins, this protein has 12 or more transmembrane alpha-helix domains that likely arrange to form a single central chamber with multiple substrate binding sites. It is also predicted to have two large extracellular domains and two nucleotide binding domains as is typical for ABCA proteins. Alternative splice variants have been described but their biological validity has not been demonstrated.[provided by RefSeq, Mar 2009]	ABCA13 (ATP-Binding Cassette, Sub-Family A (ABC1), Member 13) is a Protein Coding gene. Among its related pathways are ABC-family proteins mediated transport. GO annotations related to this gene include ATPase activity. An important paralog of this gene is ABCA4.	empty	same
